0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,label
-0.5978854,1.1504865,-2.597164,1.6861758,-0.98923975,0.15357085,0.00770694,-0.21122468,-0.4372054,-2.0611134,1.9569981,-2.4334176,-0.33970782,-2.3569872,0.1260588,-1.5244026,-1.9499576,-0.75149107,-0.47553584,0.31353787,-0.16499078,0.91708714,0.1954673,0.00082802353,0.075366005,0.98568565,0.5007809,0.07579242,0.68623114,fake
0.6001592,2.3356764,-0.9761171,1.4234985,0.44260806,0.16862665,0.2982503,-0.55937874,-0.75716484,-0.74171466,0.8529743,-0.60992837,-0.23967409,-2.3854392,0.056318596,0.6469104,0.57416975,-0.10064266,-1.334022,-0.45390776,0.114847824,0.34108242,0.15755332,-0.117117345,0.74860126,0.6239004,0.22568764,0.06904292,-0.48212036,fake
0.89494413,2.1304212,-1.4577836,3.3463984,0.9257756,-0.19041878,2.7366736,-0.090071924,-2.1712286,-0.5770053,0.38402793,-0.23117515,-0.67016613,-3.5536506,-0.8052376,1.4979599,1.8706642,0.9477636,-1.963383,-0.83765554,0.3361181,-0.15994015,-0.119952,-0.09259022,0.32004043,-0.023653518,-0.3837245,0.11326633,0.8429765,fake
-2.5490165,-0.3327654,-0.19439077,0.34376073,0.7995431,-0.73896396,-0.7371511,-1.8159977,-0.066078804,-0.9146826,1.3001709,-1.4091103,-1.1230433,-1.700098,0.74727327,0.2688784,-1.007062,-0.4607923,-0.15172789,-0.6954032,-0.5876769,0.71476984,0.228412,0.012500821,0.21367407,0.4695868,-1.2170005,-0.03470914,-0.31694615,fake
0.44682044,1.1903504,-1.0672232,2.070632,0.6828626,-0.12718391,1.7412137,-0.70299864,-1.122192,-0.19500048,0.5865208,-1.2994809,-0.32916164,-1.37814,-0.39067078,0.56405944,0.41762817,0.1778054,-1.4540344,-0.063421376,-0.040956512,-0.040152676,-0.017036486,0.123852134,-0.0032562353,0.14079276,-0.31145108,0.15437992,0.14471792,fake
-1.9597429,0.14537112,-0.70883,1.0364616,0.71056914,-0.07501185,-0.69266236,-1.2779284,-0.05445295,-0.7142953,1.9154644,-2.4869854,-1.0674831,-1.2855736,0.20678374,-0.2023668,-1.8397578,-1.5650849,-1.2799736,-0.18671678,-0.242661,0.8642928,0.27808958,0.23097031,-0.05388861,0.8851543,-0.5902184,0.24636392,-0.52731586,fake
0.65727085,1.471999,-0.5237978,1.5299907,0.2543311,0.43847498,1.0201689,-0.48789227,-1.0685172,-0.5182419,0.4465488,-0.72753006,-0.2859615,-0.63975185,0.46438563,0.61172086,-0.4376091,-0.7245895,-1.4541972,-0.08938135,-0.0042766407,0.84915197,0.25845313,0.05632007,0.4183095,0.23161219,0.43633616,0.14285329,0.2717362,fake
-0.2688148,1.4510564,-1.8896865,1.2847043,0.30459955,-0.5108404,-1.9438628,-0.3142363,0.084018216,-2.1743422,2.2948077,-2.8735683,-0.85648954,-2.5612772,0.03177787,-1.2817261,-1.8610808,-0.5248184,-0.72569174,0.25309947,-0.15287498,0.7163304,0.44614983,-0.122994885,0.09892698,0.54462606,0.3692404,-0.2121929,-1.095534,fake
1.2218996,2.4677713,-1.876939,1.2985617,0.47122627,0.6645322,-0.58223444,-0.10619044,-0.50342935,-2.1960459,1.4867821,-1.6206878,-0.40749687,-2.4435759,0.5138406,-0.5350486,-0.9287013,-0.74008036,-1.0822062,-0.27220356,0.7849988,0.70675707,0.79048586,-0.60695434,0.83760595,0.60697234,1.3397969,-0.24921292,0.004511863,fake
-0.31891483,1.2727695,-0.6903416,1.0850184,0.2188475,-0.21273151,-0.11674763,-0.68238,-0.3731833,-0.60957646,0.88831705,-0.71969754,-0.49136838,-1.7779007,0.120551616,0.5431035,0.16772646,-0.07130823,-0.97016764,0.004162751,-0.064968854,0.3274821,-0.014898732,0.10831967,0.39868987,0.58186215,-0.047196716,0.25650847,-0.7505107,fake
